company,website,status,ats_type,careers_url,roles_found,error
Markforged,https://markforged.com,ats_careers_page,greenhouse,https://markforged.com/about/careers,3,
Carbon,https://carbon3d.com,ats_homepage,greenhouse,,20,
Fives,https://fivesgroup.com,blocked_or_timeout,,,0,
Excelitas Technologies,https://excelitas.com,blocked_or_timeout,,,0,
Oerlikon Balzers,https://oerlikon.com,blocked_or_timeout,,,0,
GKN Aerospace,https://gknaerospace.com,blocked_or_timeout,,,0,
Höganäs,https://hoganas.com,blocked_or_timeout,,,0,
Hall Analytical,https://hallanalytical.com,blocked_or_timeout,,,0,
Braskem,https://braskem.com,blocked_or_timeout,,,0,
Nexus IE,https://nexus-ie.co.uk,blocked_or_timeout,,,0,
Reflow,https://reflowfilament.com,blocked_or_timeout,,,0,
S.B.Weston,https://sbweston.com,blocked_or_timeout,,,0,
3DPRINTUK,https://3dprint-uk.co.uk,blocked_or_timeout,,,0,
Pankl Racing Systems,https://pankl.com,blocked_or_timeout,,,0,
ideagen3D,https://revam3d.com,blocked_or_timeout,,,0,
Kingsbury,https://kingsburyuk.com,blocked_or_timeout,,,0,
Additive-X,https://goprint3d.co.uk,blocked_or_timeout,,,0,
The Pexion Group,https://pexion.com,blocked_or_timeout,,,0,
Zyomni,https://zyomni.com,blocked_or_timeout,,,0,
Sensor Coating Systems  Limited,https://sensorcoatings.com,blocked_or_timeout,,,0,
Xometry UK,https://xometry.uk,blocked_or_timeout,,,0,
Qimtek,https://qimtek.co.uk,blocked_or_timeout,,,0,
Ram Engineering And Tooling,https://ramet.co.uk,blocked_or_timeout,,,0,
"Resodyn Acoustic Mixers, ™",https://resodynmixers.com,blocked_or_timeout,,,0,
ITP Aero,https://itpaero.com,blocked_or_timeout,,,0,
KW Special Projects,https://kwspecialprojects.com,blocked_or_timeout,,,0,
GKN Powder Metallurgy,https://gknpm.com,blocked_or_timeout,,,0,
EGE Engineering Services,https://egeengineering.com,blocked_or_timeout,,,0,
Poppy Signs,https://poppysigns.co.uk,blocked_or_timeout,,,0,
Hybrid Manufacturing Technologies,https://hybridmanutech.com,blocked_or_timeout,,,0,
AK Medical,https://ak-medical.net,blocked_or_timeout,,,0,
Polymer Systems Technology,https://silicone-polymers.com,blocked_or_timeout,,,0,
XL Precision Technologies,https://xlprecisiontechnologies.com,blocked_or_timeout,,,0,
KW Motorsport,https://kwmotorsport.com,blocked_or_timeout,,,0,
GTMA - Manufacturing Resource Centre,https://gtma.co.uk,blocked_or_timeout,,,0,
XYZO,https://hybridms.co.uk,blocked_or_timeout,,,0,
G P Tromans Associates,https://gptromansassociates.com,blocked_or_timeout,,,0,
Hexagon Metrology Solutions,https://hexagon.com,blocked_or_timeout,,,0,
iMakr,https://imakr.com,blocked_or_timeout,,,0,
